Date;Minuti_Fuori_SLA;Minuti_Totali
2024-12-01;5;1440
2024-12-02;21;1440
2024-12-03;10;1440
2024-12-04;11;1440
2024-12-05;9;1440
2024-12-06;12;1440
2024-12-07;4;1440
2024-12-08;6;1440
2024-12-09;8;1440
2024-12-10;11;1440
2024-12-11;8;1440
2024-12-12;14;1440
2024-12-13;12;1440
2024-12-14;6;1440
2024-12-15;6;1440
2024-12-16;22;1440
2024-12-17;12;1440
2024-12-18;24;1440
2024-12-19;11;1440
2024-12-20;19;1440
2024-12-21;10;1440
2024-12-22;6;1440
2024-12-23;18;1440
2024-12-24;10;1440
2024-12-25;1;1440
2024-12-26;3;1440
2024-12-27;14;1440
2024-12-28;7;1440
2024-12-29;3;1440
2024-12-30;17;1440
2024-12-31;11;1440
